,selling_price,km_driven,max_power(bhp),fuel,owner
0,450000,145500,74.0,1,1
1,370000,120000,103.52,1,2
2,158000,140000,78.0,2,3
3,225000,127000,90.0,1,1
4,130000,120000,88.2,2,1
5,440000,45000,81.86,2,1
6,96000,175000,57.5,4,1
7,45000,5000,37.0,2,2
8,350000,90000,67.1,1,1
9,200000,169000,68.1,1,1
10,500000,68000,108.45,1,2
11,92000,100000,60.0,2,2
12,280000,140000,73.9,1,2
14,180000,90000,67.0,2,2
15,400000,40000,82.0,2,1
16,778000,70000,88.5,1,2
17,500000,53000,90.0,1,2
18,150000,80000,46.3,2,2
19,680000,100000,88.73,1,1
20,174000,100000,64.1,1,2
21,950000,50000,98.6,1,1
22,525000,40000,74.0,1,1
23,600000,72000,88.8,1,1
24,500000,35000,83.81,2,1
25,575000,45000,83.1,2,1
26,275000,28000,47.3,2,1
27,300000,70000,73.8,1,1
28,220000,120000,67.0,2,1
29,254999,25000,34.2,2,1
30,670000,70000,88.5,1,1
32,150000,35000,35.0,2,2
33,730000,2388,81.83,2,1
34,650000,16200,88.5,1,1
35,330000,10000,40.3,3,2
36,366000,15000,67.1,2,1
37,1149000,5000,121.3,2,1
38,150000,42000,67.0,2,1
39,425000,60000,138.03,1,2
40,150000,76000,37.0,2,1
41,2100000,5000,160.77,2,1
42,925000,28900,117.3,2,1
43,425000,86300,116.3,2,1
44,675000,23300,83.14,2,1
45,819999,32600,88.5,1,1
46,390000,10300,67.05,2,1
47,1500000,77000,168.5,1,1
48,700000,99000,100.0,1,1
49,1450000,27800,120.7,1,2
50,425000,49800,98.63,1,1
51,1090000,151000,175.56,1,1
52,600000,54700,98.6,1,1
53,850000,64000,103.25,2,1
54,525000,63000,98.6,1,1
55,1650000,127700,171.5,1,2
56,950000,99000,100.6,1,1
57,1750000,33900,174.33,1,2
58,1590000,25000,138.03,2,1
59,1689999,50000,187.74,1,1
60,1425000,59000,170.0,1,1
61,265000,120000,88.8,1,1
62,190000,110000,78.9,2,3
63,425000,60000,88.76,1,1
64,630000,147000,74.0,1,2
65,600000,25000,86.8,2,3
66,650000,30000,83.1,2,1
67,540000,40000,108.495,1,1
68,630000,135000,98.6,1,1
69,448000,30000,67.0,2,1
70,500000,80000,108.62,1,1
71,745000,70000,88.5,1,1
72,1025000,9850,88.5,1,1
73,235000,60000,78.9,2,2
74,630000,70000,74.0,1,1
75,1700000,78000,168.5,1,2
76,450000,120000,74.0,1,2
77,450000,120000,93.7,2,2
79,450000,170000,103.6,1,1
80,1200000,140000,100.6,1,1
81,610000,90000,98.59,1,1
82,2500000,30000,189.0,2,2
83,484999,10000,67.04,2,1
84,275000,49000,67.05,2,1
85,315000,32000,47.3,2,1
86,275000,38000,47.3,2,1
88,290000,28000,68.05,2,1
89,280000,32000,35.0,2,1
90,225000,44000,58.2,4,1
91,455000,42000,74.0,2,1
92,351000,45000,68.05,2,2
93,535000,12000,103.6,2,2
94,175000,55500,67.1,2,1
95,525000,61500,82.85,2,1
96,600000,150000,74.0,1,1
97,565000,72000,82.0,2,1
98,120000,68000,46.3,2,3
99,725000,110000,88.73,1,1
100,185000,77000,67.05,2,2
101,200000,100000,90.0,1,2
102,615000,10000,81.8,2,1
103,270000,100000,73.0,2,3
104,610000,35000,83.1,2,1
105,625000,70000,120.0,1,2
106,400000,5000,94.68,2,2
107,866000,37800,121.3,2,1
108,700000,114000,160.0,2,1
109,300000,48000,65.0,2,1
110,1700000,32000,155.0,1,1
111,375000,100000,69.01,1,1
112,522000,150000,126.32,1,2
113,451999,69000,88.76,1,1
114,300000,100000,138.1,2,2
115,475000,13000,67.04,2,1
116,780000,60000,88.5,1,1
117,595000,40000,83.14,2,1
118,440000,35000,67.04,2,1
120,400000,70000,83.8,1,3
121,1140000,50000,126.2,1,1
122,850000,76139,98.96,1,1
123,370000,175000,73.9,1,4
124,350000,25000,67.0,2,1
125,360000,40000,67.04,2,2
126,105000,65000,46.3,2,4
127,625000,90000,88.76,1,2
128,135000,80000,62.1,2,2
129,700000,110000,88.76,1,2
130,690000,1303,86.7,2,1
131,3975000,31800,188.0,1,1
132,5150000,20000,214.56,2,1
133,3200000,45000,177.0,1,1
134,4100000,17000,280.0,2,1
135,4500000,21000,148.31,1,1
136,6000000,37000,254.79,1,1
137,3790000,29500,187.74,1,1
139,5800000,7500,190.0,1,1
140,1864999,50000,177.46,2,1
141,2700000,35000,204.0,1,1
142,1750000,19000,141.0,2,1
143,795000,41000,117.6,2,1
144,625000,39000,138.03,2,1
145,3400000,22000,190.0,1,1
146,2650000,53000,241.4,1,1
147,535000,40000,88.5,1,1
148,5850000,47000,282.0,1,1
149,975000,72200,150.0,2,2
150,805000,49900,147.5,2,1
151,2625000,9000,177.0,1,1
152,811000,11000,108.5,2,1
153,375000,49000,103.6,2,1
154,550000,95000,147.5,2,1
155,645000,11000,103.5,2,1
156,2550000,18000,183.0,2,1
157,599000,46100,93.7,2,1
158,2700000,16000,181.04,2,1
159,875000,18000,116.3,2,1
160,894999,9654,81.8,2,1
161,175000,11000,67.05,2,1
162,340000,24300,81.8,2,1
163,1525000,42163,171.5,1,2
164,1025000,8000,108.5,1,1
165,2150000,30000,190.0,1,1
166,1900000,41000,157.7,2,1
167,2900000,12000,190.0,1,1
168,450000,71000,164.7,2,1
169,850000,20000,91.1,2,1
170,10000000,30000,400.0,2,1
171,300000,100000,103.6,1,2
172,575000,9500,86.8,2,1
173,160000,120000,68.0,1,1
174,515000,36600,81.8,2,1
175,390000,50000,67.0,2,2
176,550000,14000,81.83,2,2
177,40000,40000,37.0,2,2
178,220000,120000,73.9,1,1
179,425000,70000,82.0,2,1
180,480000,13000,75.0,2,1
181,400000,60000,82.0,2,2
182,487000,35000,85.8,2,1
183,386000,44000,82.0,2,2
184,100000,120000,100.0,2,2
185,300000,60000,87.2,1,1
186,100000,60000,53.0,2,1
187,1750000,30000,168.5,1,2
188,450000,15000,82.0,2,2
189,490000,90000,74.0,1,1
190,345000,47000,118.0,2,2
191,85000,90000,60.0,2,1
192,215000,120600,67.1,2,2
193,320000,100000,103.2,2,3
194,459999,60000,83.14,2,2
195,65000,86000,83.0,2,1
196,720000,5000,81.86,2,1
197,800000,37000,88.5,1,1
198,520000,14000,84.0,2,1
199,580000,70000,88.76,1,1
201,600000,50000,117.3,2,1
202,290000,60000,86.8,2,2
203,360000,50000,58.16,3,1
204,550000,50000,83.14,2,1
205,375000,70000,82.85,2,1
207,420000,35000,67.0,2,1
208,550000,20000,81.8,2,1
209,270000,20000,47.3,2,1
210,700000,7800,81.8,2,1
211,500000,20000,81.8,2,1
212,1250000,15000,147.94,1,1
213,320000,31377,82.85,2,2
214,700000,50000,74.02,1,1
215,290000,60000,67.04,2,1
216,550000,100000,138.1,2,1
217,265000,60000,86.8,2,1
218,830000,5000,83.1,2,1
219,800000,60000,147.94,1,1
220,160000,25000,46.3,2,2
221,335000,30000,53.3,2,1
222,329000,80000,67.0,2,2
223,775000,75000,88.5,1,1
224,524000,32000,81.86,2,1
225,245000,40000,47.3,2,1
226,275000,93000,80.0,2,2
227,520000,60000,88.7,2,1
229,550000,37000,97.7,2,1
230,910000,15000,121.36,2,1
231,300000,80000,67.04,2,1
232,350000,140000,67.04,2,1
233,900000,70000,162.0,1,1
234,300000,120000,100.0,1,2
235,250000,110000,73.9,1,2
236,1100000,37000,126.2,1,1
237,270000,44000,53.3,2,1
238,640000,80000,88.76,1,1
239,650000,125000,140.0,1,1
240,409999,13500,73.0,2,1
241,165000,75000,62.1,2,1
242,80000,120000,94.0,2,2
243,535000,120000,140.0,1,1
244,700000,70000,100.57,1,1
245,550000,70000,74.0,1,1
246,680000,15000,88.76,2,1
247,200000,53000,78.9,2,2
248,500000,120000,74.0,1,2
249,1000000,70000,88.5,1,1
250,110000,120000,82.9,2,2
251,320000,100000,80.0,2,2
253,350000,100000,83.11,2,1
254,170000,162500,70.0,1,1
255,800000,39000,88.73,1,1
256,500000,75000,74.0,1,1
257,1380000,50000,153.86,1,1
258,1300000,40000,121.0,1,1
259,530000,92500,126.3,1,1
260,360000,158000,74.0,1,1
261,310000,120000,73.9,1,1
262,725000,50000,98.6,1,2
263,340000,110000,73.9,1,1
264,550000,2000,73.97,1,2
265,1150000,181000,171.0,1,2
266,380000,70000,69.0,1,1
267,350000,90000,99.6,2,2
268,610000,2000,81.86,2,1
269,525000,20000,83.14,2,1
270,480000,120000,102.0,1,1
271,780000,35000,105.0,1,1
272,320000,193000,73.9,1,1
273,375000,80000,81.8,2,1
274,300000,40000,67.05,2,1
275,500000,70000,88.73,1,4
276,404000,122358,120.0,1,1
277,500000,75000,69.01,1,1
278,350000,120000,69.0,1,1
279,380000,40000,88.7,2,1
280,114999,95200,94.0,2,3
281,335000,33033,86.8,2,1
282,465000,63063,82.0,2,1
283,290000,60000,88.76,1,1
284,110000,45000,46.3,2,2
285,450000,80000,138.1,1,3
286,400000,170000,63.0,1,2
287,210000,207890,63.0,1,2
288,4600000,7976,170.0,1,1
289,220000,35000,34.2,2,1
290,450000,35000,82.0,2,1
292,290000,50000,78.9,2,1
293,520000,20000,81.8,2,1
294,265000,20000,78.9,2,1
295,330000,50000,85.8,2,2
297,509999,120000,62.1,1,1
298,500000,70000,121.3,2,1
299,525000,50000,81.86,2,1
300,675000,16500,81.8,2,1
301,300000,70000,80.0,2,1
302,90000,99361,46.3,2,2
303,650000,25000,74.0,1,1
304,409000,70000,85.8,2,2
305,395000,80000,70.0,1,2
307,400000,70000,85.8,2,2
308,120000,60000,79.4,2,3
309,645000,10000,84.0,2,1
310,81000,80000,37.0,2,1
311,1300000,30000,97.9,1,1
312,1250000,33000,97.9,1,1
313,535000,90000,93.7,2,3
314,555000,80100,108.5,1,2
315,725000,120000,117.3,2,1
317,229999,40000,53.3,2,1
318,800000,160000,100.6,1,2
319,409999,47000,67.04,2,1
320,1210000,25000,88.7,1,1
321,400000,26000,84.0,2,1
322,520000,29000,73.97,1,1
323,650000,50000,83.1,2,1
324,325000,58000,88.2,2,3
325,420000,120000,85.8,2,1
326,400000,50000,81.8,2,1
327,254999,80000,80.0,2,4
328,65000,60000,60.0,2,4
329,351000,36000,67.04,2,1
330,404000,120000,102.0,1,3
331,185000,185000,73.9,1,3
332,250000,50000,63.1,1,1
333,60000,100000,60.0,2,4
334,500000,50000,121.3,2,2
335,85000,80000,67.1,2,2
337,85000,80000,46.3,2,4
338,265000,90000,73.9,1,4
339,130000,162000,66.1,2,2
340,480000,110000,88.76,1,3
341,170000,120000,75.0,1,3
342,275000,45000,63.1,1,1
343,89000,90000,67.1,2,2
